song,artist
All I Want For Christmas Is You,Mariah Carey
Rockin' Around The Christmas Tree,Brenda Lee
Jingle Bell Rock,Bobby Helms
Last Christmas,Wham!
A Holly Jolly Christmas,Burl Ives
It's The Most Wonderful Time Of The Year,Andy Williams
Feliz Navidad,Jose Feliciano
Anti-Hero,Taylor Swift
The Christmas Song (Merry Christmas To You),Nat King Cole
Unholy,Sam Smith & Kim Petras
Kill Bill,SZA
Santa Tell Me,Ariana Grande
Sleigh Ride,The Ronettes
Underneath The Tree,Kelly Clarkson
Christmas (Baby Please Come Home),Darlene Love
White Christmas,Bing Crosby
Deck The Halls,Nat King Cole
"Let It Snow, Let It Snow, Let It Snow",Dean Martin
I'm Good (Blue),David Guetta & Bebe Rexha
Jingle Bells,Frank Sinatra
Rich Flex,Drake & 21 Savage
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
Blue Christmas,Elvis Presley
It's Beginning To Look A Lot Like Christmas,Michael Buble
Die For You,The Weeknd
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
Rudolph The Red-Nosed Reindeer,Gene Autry
Little Saint Nick,The Beach Boys
Bad Habit,Steve Lacy
As It Was,Harry Styles
Run Rudolph Run,Chuck Berry
Wonderful Christmastime,Paul McCartney
Santa Claus Is Comin' To Town,Jackson 5
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
This Christmas,Donny Hathaway
Cuff It,Beyonce
Under The Influence,Chris Brown
Happy Holiday / The Holiday Season,Andy Williams
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra
Something In The Orange,Zach Bryan
Please Come Home For Christmas,Eagles
Merry Christmas,Ed Sheeran & Elton John
Made You Look,Meghan Trainor
You Proof,Morgan Wallen
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir
Have Yourself A Merry Little Christmas,Michael Buble
Golden Hour,JVKE
Christmastime Is Here,Vince Guaraldi Trio
Super Freaky Girl,Nicki Minaj
Shirt,SZA
Just Wanna Rock,Lil Uzi Vert
Tomorrow 2,GloRilla & Cardi B
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
Thank God,Kane Brown With Katelyn Brown
Lift Me Up,Rihanna
Until I Found You,Stephen Sanchez
Nobody Gets Me,SZA
Someday At Christmas,Lizzo
Rock And A Hard Place,Bailey Zimmerman
Gato de Noche,Nengo Flow & Bad Bunny
Victoria's Secret,Jax
Lavender Haze,Taylor Swift
Low,SZA
Son Of A Sinner,Jelly Roll
Blind,SZA
What My World Spins Around,Jordan Davis
Wait In The Truck,HARDY Featuring Lainey Wilson
"Going, Going, Gone",Luke Combs
Heart Like A Truck,Lainey Wilson
Last Christmas,Lauren Spencer-Smith
Blue Christmas,Kane Brown
Snooze,SZA
Escapism,RAYE Featuring 070 Shake
"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande
Love Language,SZA
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
Calm Down,Rema & Selena Gomez
Whiskey On You,Nate Smith
Seek & Destroy,SZA
Hold Me Closer,Elton John & Britney Spears
Que Vuelvas,Carin Leon X Grupo Frontera
Too Many Nights,Metro Boomin Featuring Don Toliver & Future
Spin Bout U,Drake & 21 Savage
Used,SZA Featuring Don Toliver
Romantic Homicide,d4vd
Circo Loco,Drake & 21 Savage
Ghost In The Machine,SZA Featuring Phoebe Bridgers
Down Home,Jimmie Allen
Bebe Dame,Fuerza Regida X Grupo Frontera
Special,SZA
No Se Va,Grupo Frontera
Kid On Christmas,Pentatonix Featuring Meghan Trainor
One Thing At A Time,Morgan Wallen
Pick Me Up,Gabby Barrett
SOS,SZA
Forget Me,Lewis Capaldi
La Jumpa,Arcangel & Bad Bunny
Gone Girl,SZA
